"";"x0.1";"x0.2";"x..1";"x..2";"function.value";"accuracy";"reached.accuracy";"calls.number";"derivative.step";"derivative.method";"onedim.method";"onedim.accuracy";"alpha.in.Sven";"criteria.of.stop";"restarts.presence"
"36";20;20;1,00074804636891;1,00147099420377;6,25407217637782e-07;0,1;0,00165027189201546;37122;0,1;"O(h^4)";"GR";1e-06;0,001;"grad";TRUE
"37";20;20;646629,352887138;-16145,0317592804;1,74832309009607e+25;0,1;646829,901209819;141;0,1;"O(h^4)";"DSK-P";0,01;1;"grad";TRUE
"38";20;20;145062,814763273;-3606,02504376856;4,42817269288846e+22;0,1;145106,652955957;138;0,1;"O(h^4)";"DSK-P";0,01;0,1;"grad";TRUE
"39";20;20;0,999465681679164;0,998909739400206;3,33498486272801e-07;0,1;0,00121415165586701;14155;0,1;"O(h^4)";"DSK-P";0,01;0,01;"grad";TRUE
"40";20;20;1,00025157855226;1,00047774326405;1,28200194697876e-07;0,1;0,000539935546433086;13288;0,1;"O(h^4)";"DSK-P";0,01;0,001;"grad";TRUE
"41";20;20;131605,648503697;-3269,60009259107;2,99984131575867e+22;0,1;131645,282227459;373;0,1;"O(h^4)";"DSK-P";1e-04;1;"grad";TRUE
"42";20;20;28979,338234491;-703,974406182152;70526865636873691136;0,1;28986,9121457588;221;0,1;"O(h^4)";"DSK-P";1e-04;0,1;"grad";TRUE
"43";20;20;0,999967082590914;0,999932509850635;1,3579268033213e-09;0,1;7,50897868040868e-05;639;0,1;"O(h^4)";"DSK-P";1e-04;0,01;"grad";TRUE
"44";20;20;0,999222688336641;0,998473975233828;6,82581769091886e-07;0,1;0,00171259014622999;17936;0,1;"O(h^4)";"DSK-P";1e-04;0,001;"grad";TRUE
"45";20;20;28206,6335456811;-674,224117013275;6,3300298987382e+19;0,1;28213,7145962996;9594;0,1;"O(h^4)";"DSK-P";1e-06;1;"grad";TRUE
"46";20;20;6025,02069756728;-130,123640893661;131776293023218112;0,1;6025,4475994668;1195;0,1;"O(h^4)";"DSK-P";1e-06;0,1;"grad";TRUE
"47";20;20;1,00044044760144;1,0008190325858;5,79096388612438e-07;0,1;0,000929950786991916;19053;0,1;"O(h^4)";"DSK-P";1e-06;0,01;"grad";TRUE
"48";20;20;0,999563868152264;0,999067643291173;5,53617702327734e-07;0,1;0,00102932017424307;15431;0,1;"O(h^4)";"DSK-P";1e-06;0,001;"grad";TRUE
"49";20;20;3049499,20485945;-76216,0271192823;8,64796861732694e+27;0,1;3050450,51372153;84;0,001;"O(h^2)";"GR";0,01;1;"grad";TRUE
"50";20;20;NA;NA;NA;0,1;NA;278;0,001;"O(h^2)";"GR";0,01;0,1;"grad";TRUE
"51";20;20;0,999480914287257;0,998915825950093;4,83560464082595e-07;0,1;0,00120203300606367;61821;0,001;"O(h^2)";"GR";0,01;0,01;"grad";TRUE
"52";20;20;0,999085959697895;0,998157836445422;8,57725599528383e-07;0,1;0,00205646206765089;22965;0,001;"O(h^2)";"GR";0,01;0,001;"grad";TRUE
"53";20;20;1,00004223779502;1,00008568984794;1,9310406141689e-09;0,1;9,55341895229306e-05;30208;0,001;"O(h^2)";"GR";1e-04;1;"grad";TRUE
"54";20;20;59562620,8014221;3547705796734059;3547705677922363;0,1;3547705796734059;381;0,001;"O(h^2)";"GR";1e-04;0,1;"grad";TRUE
"55";20;20;1,00006939549064;1,00028006700861;2,00057125657058e-06;0,1;0,000288536416133129;81913;0,001;"O(h^2)";"GR";1e-04;0,01;"grad";TRUE
"56";20;20;0,999201497645419;0,998480541325275;1,22909664659351e-06;0,1;0,00171649662815542;27670;0,001;"O(h^2)";"GR";1e-04;0,001;"grad";TRUE
"57";20;20;0,99675647402359;0,993413346289675;1,17331510551878e-05;0,1;0,00734196621208445;32463;0,001;"O(h^2)";"GR";1e-06;1;"grad";TRUE
"58";20;20;0,999128609009269;0,998313302254038;1,06540686125264e-06;0,1;0,00189849191332517;30716;0,001;"O(h^2)";"GR";1e-06;0,1;"grad";TRUE
"59";20;20;1,00015255786251;1,00023923210862;4,57645720497228e-07;0,1;0,000283735622027698;124169;0,001;"O(h^2)";"GR";1e-06;0,01;"grad";TRUE
"60";20;20;1,00067986544541;1,00130872864904;7,27076075800021e-07;0,1;0,00147478395051332;34893;0,001;"O(h^2)";"GR";1e-06;0,001;"grad";TRUE
"61";20;20;646629,353311183;-16145,0317588852;1,74832309468212e+25;0,1;646829,901633722;103;0,001;"O(h^2)";"DSK-P";0,01;1;"grad";TRUE
"62";20;20;NA;NA;NA;0,1;NA;10419;0,001;"O(h^2)";"DSK-P";0,01;0,1;"grad";TRUE
"63";20;20;0,99259490707095;0,985119151632;5,64103738591061e-05;0,1;0,0166215236798335;97330;0,001;"O(h^2)";"DSK-P";0,01;0,01;"grad";TRUE
"64";20;20;0,997756543341299;0,995528362256201;5,04358861056674e-06;0,1;0,00500286336923506;11647;0,001;"O(h^2)";"DSK-P";0,01;0,001;"grad";TRUE
"65";20;20;0,969745981803599;0,940164719798568;0,000921188639416887;0,1;0,0670489848827862;11929;0,001;"O(h^2)";"DSK-P";1e-04;1;"grad";TRUE
"66";20;20;1,00310000883476;1,00624462844258;9,73255980360419e-06;0,1;0,00697176011933244;17035;0,001;"O(h^2)";"DSK-P";1e-04;0,1;"grad";TRUE
"67";20;20;1,00031082464682;1,00055978361754;4,80544475398943e-07;0,1;0,000640288731383571;14647;0,001;"O(h^2)";"DSK-P";1e-04;0,01;"grad";TRUE
"68";20;20;0,990259995952147;0,980520425797542;9,57594528385505e-05;0,1;0,0217789230670683;16917;0,001;"O(h^2)";"DSK-P";1e-04;0,001;"grad";TRUE
"69";20;20;NA;NA;NA;0,1;NA;4794;0,001;"O(h^2)";"DSK-P";1e-06;1;"grad";TRUE
"70";20;20;NA;NA;NA;0,1;NA;22268;0,001;"O(h^2)";"DSK-P";1e-06;0,1;"grad";TRUE
"71";20;20;NA;NA;NA;0,1;NA;7136;0,001;"O(h^2)";"DSK-P";1e-06;0,01;"grad";TRUE
"72";20;20;NA;NA;NA;0,1;NA;7043;0,001;"O(h^2)";"DSK-P";1e-06;0,001;"grad";TRUE
"73";20;20;0,985458029013414;0,971096603984397;0,000211564543136344;0,1;0,0323554511853798;36097;0,001;"O(h^4)";"GR";0,01;1;"grad";TRUE
"74";20;20;314494,254417571;-7841,75808832904;9,78252420823931e+23;0,1;314591,029637825;111;0,001;"O(h^4)";"GR";0,01;0,1;"grad";TRUE
"75";20;20;42032,2918889462;-1030,29416852863;3,12128044865551e+20;0,1;42043,9420786852;124;0,001;"O(h^4)";"GR";0,01;0,01;"grad";TRUE
"76";20;20;6100,07599997955;-131,999999996896;138466292756918704;0,1;6100,52596531854;142;0,001;"O(h^4)";"GR";0,01;0,001;"grad";TRUE
"77";20;20;3040182,2048433;-75983,1050809724;8,54276495951454e+27;0,1;3041130,60267188;105;0,001;"O(h^4)";"GR";1e-04;1;"grad";TRUE
"78";20;20;0,9772195291813;0,954874547325913;0,000519646422694342;0,1;0,050549543319034;25221;0,001;"O(h^4)";"GR";1e-04;0,1;"grad";TRUE
"79";20;20;6538,03684814061;55121622,287217;15315786328680626;0,1;55121621,6748403;871;0,001;"O(h^4)";"GR";1e-04;0,01;"grad";TRUE
"80";20;20;2229,15205788053;-56,2251594246839;2469270144585543;0,1;2228,8867875934;310;0,001;"O(h^4)";"GR";1e-04;0,001;"grad";TRUE
"81";20;20;3040059,00985209;-75980,02524469;8,54138035581561e+27;0,1;3041007,36918921;115;0,001;"O(h^4)";"GR";1e-06;1;"grad";TRUE
"82";20;20;304024,919953443;-7580,02799835644;8,54351925256508e+23;0,1;304118,424120226;130;0,001;"O(h^4)";"GR";1e-06;0,1;"grad";TRUE
"83";20;20;30421,622048433;-740,031050809724;85650550838582476800;0,1;30429,646281741;147;0,001;"O(h^4)";"GR";1e-06;0,01;"grad";TRUE
"84";20;20;0,991437333159621;0,98277611802662;7,6273109101295e-05;0,1;0,0192348998867232;35306;0,001;"O(h^4)";"GR";1e-06;0,001;"grad";TRUE
"85";20;20;646629,352884948;-16145,0317589509;1,74832309007239e+25;0,1;646829,901207622;115;0,001;"O(h^4)";"DSK-P";0,01;1;"grad";TRUE
"86";20;20;1,00088415604719;1,00176923019222;7,81733775342125e-07;0,1;0,00197785423851841;14688;0,001;"O(h^4)";"DSK-P";0,01;0,1;"grad";TRUE
"87";20;20;-3211,98280779517;9981004,64968898;11278115860232,6;0,1;9981004,16683428;320;0,001;"O(h^4)";"DSK-P";0,01;0,01;"grad";TRUE
"88";20;20;0,999887398293012;0,999769509143633;1,5488273246258e-08;0,1;0,000256525202046959;13231;0,001;"O(h^4)";"DSK-P";0,01;0,001;"grad";TRUE
"89";20;20;-642,097143591238;4393,3964394104;16637861690912,2;0,1;4439,22520458699;8620;0,001;"O(h^4)";"DSK-P";1e-04;1;"grad";TRUE
"90";20;20;0,99955885352629;0,999055757749516;5,80796806991464e-07;0,1;0,00104221093779758;14066;0,001;"O(h^4)";"DSK-P";1e-04;0,1;"grad";TRUE
"91";20;20;0,990963521720017;0,981878225123601;8,33603450461718e-05;0,1;0,0202498559099929;19003;0,001;"O(h^4)";"DSK-P";1e-04;0,01;"grad";TRUE
"92";20;20;1458,73889504075;-15,9680227751205;452810794694130;0,1;1457,83764525119;160;0,001;"O(h^4)";"DSK-P";1e-04;0,001;"grad";TRUE
"93";20;20;27785,1653843938;-674,120458092276;5,9600884254503e+19;0,1;27792,3664652775;4782;0,001;"O(h^4)";"DSK-P";1e-06;1;"grad";TRUE
"94";20;20;6025,02069754689;-130,1236408906;131776293021433952;0,1;6025,44759944634;1173;0,001;"O(h^4)";"DSK-P";1e-06;0,1;"grad";TRUE
"95";20;20;1,00078680076882;1,0016044906832;7,1068328532825e-07;0,1;0,00178702148904517;18969;0,001;"O(h^4)";"DSK-P";1e-06;0,01;"grad";TRUE
"96";20;20;0,999902050655105;0,999792865741322;2,22394431684366e-08;0,1;0,000229125893961217;14726;0,001;"O(h^4)";"DSK-P";1e-06;0,001;"grad";TRUE
"97";20;20;3049499,20365432;-76216,0269118866;8,64796860365651e+27;0,1;3050450,51251158;68;1e-05;"O(h^2)";"GR";0,01;1;"grad";TRUE
