"";"x0.1";"x0.2";"x..1";"x..2";"function.value";"accuracy";"reached.accuracy";"calls.number";"derivative.step";"derivative.method";"onedim.method";"onedim.accuracy";"alpha.in.Sven";"criteria.of.stop";"restarts.presence"
"1";20;20;NA;NA;NA;0,1;NA;44395;0,1;"O(h^2)";"GR";0,01;1;"grad";TRUE
"2";20;20;0,995684883647559;0,991287307224077;1,96419518434548e-05;0,1;0,00972271796066921;37060;0,1;"O(h^2)";"GR";0,01;0,1;"grad";TRUE
"3";20;20;NA;NA;NA;0,1;NA;687487;0,1;"O(h^2)";"GR";0,01;0,01;"grad";TRUE
"4";20;20;-11708,6315319196;140161576,134117;942197763080965;0,1;140161575,623251;708566;0,1;"O(h^2)";"GR";0,01;0,001;"grad";TRUE
"5";20;20;0,994384969394865;0,988933796783943;3,32796763823826e-05;0,1;0,0124092474516257;35199;0,1;"O(h^2)";"GR";1e-04;1;"grad";TRUE
"6";20;20;1,0002826662352;1,0005753410927;8,97581527704519e-08;0,1;0,000641028527819813;34006;0,1;"O(h^2)";"GR";1e-04;0,1;"grad";TRUE
"7";20;20;NA;NA;NA;0,1;NA;1140947;0,1;"O(h^2)";"GR";1e-04;0,01;"grad";TRUE
"8";20;20;0,992284617729206;0,984704756418674;6,01046299057807e-05;0,1;0,0171310128070874;34266;0,1;"O(h^2)";"GR";1e-04;0,001;"grad";TRUE
"9";20;20;0,97190722629938;0,944606766030952;0,000789204901092028;0,1;0,0621096957305698;79562;0,1;"O(h^2)";"GR";1e-06;1;"grad";TRUE
"10";20;20;0,999710571192507;0,999467030065878;2,93568868502795e-07;0,1;0,000606486591183376;35504;0,1;"O(h^2)";"GR";1e-06;0,1;"grad";TRUE
"11";20;20;NA;NA;NA;0,1;NA;1417787;0,1;"O(h^2)";"GR";1e-06;0,01;"grad";TRUE
"12";20;20;1,00007125616942;1,00013112837479;1,80484682891516e-08;0,1;0,000149238374270377;900;0,1;"O(h^2)";"GR";1e-06;0,001;"grad";TRUE
"13";20;20;1,008411397655;1,01705486490661;7,33539597746719e-05;0,1;0,0190163095129729;172653;0,1;"O(h^2)";"DSK-P";0,01;1;"grad";TRUE
"14";20;20;1,00152533437836;1,0030868297519;2,44112129128814e-06;0,1;0,00344313271353251;18713;0,1;"O(h^2)";"DSK-P";0,01;0,1;"grad";TRUE
"15";20;20;-3346,54181105714;83069,9209158568;12357150711932778;0,1;83136,3437871888;235;0,1;"O(h^2)";"DSK-P";0,01;0,01;"grad";TRUE
"16";20;20;NA;NA;NA;0,1;NA;608938;0,1;"O(h^2)";"DSK-P";0,01;0,001;"grad";TRUE
