"";"x0.1";"x0.2";"x..1";"x..2";"function.value";"accuracy";"reached.accuracy";"calls.number";"derivative.step";"derivative.method";"onedim.method";"onedim.accuracy";"alpha.in.Sven";"criteria.of.stop";"restarts.presence"
"1";1;1;1,01484217711644;1,04348829045647;0,0186718340924492;1;0,0459512962644399;117;1;"O(h^2)";"GR";0,1;1;"norm";TRUE
"2";1;1;1,01484891547164;1,04350314429688;0,0186752320557684;1;0,0459675304361548;117;1;"O(h^2)";"GR";0,1;1;"norm";FALSE
"3";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,1;1;"grad";TRUE
"4";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,1;1;"grad";FALSE
"5";1;1;1,01349576182861;1;0,0740229112612974;1;0,0134957618286142;47;1;"O(h^2)";"GR";0,1;0,1;"norm";TRUE
"6";1;1;1,01349576182861;1;0,0740229112612974;1;0,0134957618286142;47;1;"O(h^2)";"GR";0,1;0,1;"norm";FALSE
"7";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,1;0,1;"grad";TRUE
"8";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,1;0,1;"grad";FALSE
"9";1;1;1,001953125;1;0,00153267529094592;1;0,001953125;45;1;"O(h^2)";"GR";0,1;0,01;"norm";TRUE
"10";1;1;1,001953125;1;0,00153267529094592;1;0,001953125;45;1;"O(h^2)";"GR";0,1;0,01;"norm";FALSE
"11";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,1;0,01;"grad";TRUE
"12";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,1;0,01;"grad";FALSE
"13";1;1;1,0001953125;1;1,52999164129239e-05;1;0,000195312500000044;45;1;"O(h^2)";"GR";0,1;0,001;"norm";TRUE
"14";1;1;1,0001953125;1;1,52999164129239e-05;1;0,000195312500000044;45;1;"O(h^2)";"GR";0,1;0,001;"norm";FALSE
"15";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,1;0,001;"grad";TRUE
"16";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,1;0,001;"grad";FALSE
"17";1;1;0,98960293116299;0,98065358821699;0,000287559050288741;1;0,021963212180355;132;1;"O(h^2)";"GR";0,01;1;"norm";TRUE
"18";1;1;0,989600992563684;0,980649319159515;0,000287483593813619;1;0,021967890309515;132;1;"O(h^2)";"GR";0,01;1;"norm";FALSE
"19";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,01;1;"grad";TRUE
"20";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,01;1;"grad";FALSE
"21";1;1;1,01010197122801;1;0,0413353820650329;1;0,0101019712280139;52;1;"O(h^2)";"GR";0,01;0,1;"norm";TRUE
"22";1;1;1,01010197122801;1;0,0413353820650329;1;0,0101019712280139;52;1;"O(h^2)";"GR";0,01;0,1;"norm";FALSE
"23";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,01;0,1;"grad";TRUE
"24";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,01;0,1;"grad";FALSE
"25";1;1;1,00134957618286;1;0,000731347260348772;1;0,00134957618286147;47;1;"O(h^2)";"GR";0,01;0,01;"norm";TRUE
"26";1;1;1,00134957618286;1;0,000731347260348772;1;0,00134957618286147;47;1;"O(h^2)";"GR";0,01;0,01;"norm";FALSE
"27";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,01;0,01;"grad";TRUE
"28";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,01;0,01;"grad";FALSE
"29";1;1;1,0001953125;1;1,52999164129239e-05;1;0,000195312500000044;45;1;"O(h^2)";"GR";0,01;0,001;"norm";TRUE
"30";1;1;1,0001953125;1;1,52999164129239e-05;1;0,000195312500000044;45;1;"O(h^2)";"GR";0,01;0,001;"norm";FALSE
"31";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,01;0,001;"grad";TRUE
"32";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,01;0,001;"grad";FALSE
"33";1;1;0,990382537149629;0,982608499221631;0,000399070943787223;1;0,0198735978373888;144;1;"O(h^2)";"GR";0,001;1;"norm";TRUE
"34";1;1;0,990380651175825;0,9826043472721;0,000398961465150215;1;0,0198781439181544;144;1;"O(h^2)";"GR";0,001;1;"norm";FALSE
"35";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,001;1;"grad";TRUE
"36";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,001;1;"grad";FALSE
"37";1;1;1,00979595332046;1;0,0388571727505612;1;0,00979595332046035;57;1;"O(h^2)";"GR";0,001;0,1;"norm";TRUE
"38";1;1;1,00979595332046;1;0,0388571727505612;1;0,00979595332046035;57;1;"O(h^2)";"GR";0,001;0,1;"norm";FALSE
"39";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,001;0,1;"grad";TRUE
"40";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,001;0,1;"grad";FALSE
"41";1;1;1,0010101971228;1;0,000409632254884066;1;0,00101019712280137;52;1;"O(h^2)";"GR";0,001;0,01;"norm";TRUE
"42";1;1;1,0010101971228;1;0,000409632254884066;1;0,00101019712280137;52;1;"O(h^2)";"GR";0,001;0,01;"norm";FALSE
"43";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,001;0,01;"grad";TRUE
"44";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,001;0,01;"grad";FALSE
"45";1;1;1,00013495761829;1;7,30462030868632e-06;1;0,00013495761828608;47;1;"O(h^2)";"GR";0,001;0,001;"norm";TRUE
"46";1;1;1,00013495761829;1;7,30462030868632e-06;1;0,00013495761828608;47;1;"O(h^2)";"GR";0,001;0,001;"norm";FALSE
"47";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,001;0,001;"grad";TRUE
"48";1;1;1;1;0;1;0;20;1;"O(h^2)";"GR";0,001;0,001;"grad";FALSE
